dateid,areaID,deaths
20201107,lj,113
20201107,mb,84
20201107,ms,55
20201107,ng,15
20201107,nm,46
20201107,po,4
20201107,sg,36
20201107,si,619
20201107,za,14
20201106,ce,98
20201106,kk,55
20201106,kp,4
20201106,kr,89
20201106,lj,108
20201106,mb,79
20201106,ms,55
20201106,ng,14
20201106,nm,45
20201106,po,4
20201106,sg,33
20201106,si,598
20201106,za,14
20201105,ce,94
20201105,kk,54
20201105,kp,4
20201105,kr,82
20201105,lj,105
20201105,mb,71
20201105,ms,49
20201105,ng,12
20201105,nm,41
20201105,po,4
20201105,sg,33
20201105,si,563
20201105,za,14
20201104,ce,93
20201104,kk,51
20201104,kp,4
20201104,kr,78
20201104,lj,97
20201104,mb,67
20201104,ms,48
20201104,ng,12
20201104,nm,38
20201104,po,4
20201104,sg,30
20201104,si,535
20201104,za,13
20201103,ce,92
20201103,kk,51
20201103,kp,4
20201103,kr,72
20201103,lj,91
20201103,mb,60
20201103,ms,46
20201103,ng,11
20201103,nm,36
20201103,po,3
20201103,sg,26
20201103,si,504
20201103,za,12
20201102,ce,90
20201102,kk,49
20201102,kp,4
20201102,kr,64
20201102,lj,87
20201102,mb,51
20201102,ms,42
20201102,ng,11
20201102,nm,35
20201102,po,3
20201102,sg,25
20201102,si,473
20201102,za,12
20201101,ce,85
20201101,kk,47
20201101,kp,3
20201101,kr,60
20201101,lj,81
20201101,mb,47
20201101,ms,39
20201101,ng,9
20201101,nm,33
20201101,po,3
20201101,sg,24
20201101,si,441
20201101,za,10
20201031,ce,84
20201031,kk,43
20201031,kp,3
20201031,kr,55
20201031,lj,77
20201031,mb,41
20201031,ms,39
20201031,ng,8
20201031,nm,32
20201031,po,3
20201031,sg,23
20201031,si,418
20201031,za,10
20201030,ce,84
20201030,kk,38
20201030,kp,3
20201030,kr,49
20201030,lj,74
20201030,mb,36
20201030,ms,35
20201030,ng,8
20201030,nm,31
20201030,po,2
20201030,sg,21
20201030,si,391
20201030,za,10
20201029,ce,79
20201029,kk,37
20201029,kp,3
20201029,kr,44
20201029,lj,68
20201029,mb,32
20201029,ms,33
20201029,ng,8
20201029,nm,28
20201029,po,1
20201029,sg,21
20201029,si,364
20201029,za,10
20201028,ce,76
20201028,kk,35
20201028,kp,3
20201028,kr,39
20201028,lj,63
20201028,mb,29
20201028,ms,33
20201028,ng,7
