dateID,sigla_provincia,totale_casi
20220407,MT,39038
20220407,CS,77359
20220407,CZ,42218
20220407,RC,124366
20220407,KR,32301
20220407,VV,35092
20220407,TP,76765
20220407,PA,242390
20220407,ME,141374
20220407,AG,78709
20220407,CL,62036
20220407,EN,29687
20220407,CT,212619
20220407,RG,74669
20220407,SR,91978
20220407,SS,68229
20220407,NU,34930
20220407,CA,66815
20220407,OR,28038
20220407,SU,43543
20220406,TO,566239
20220406,VC,37815
20220406,NO,80609
20220406,CN,138678
20220406,AT,49448
20220406,AL,92830
20220406,BI,40646
20220406,VB,39147
20220406,AO,30346
20220406,VA,237793
20220406,CO,159541
20220406,SO,43213
20220406,MI,843219
20220406,BG,198882
20220406,BS,323251
20220406,PV,136120
20220406,CR,84870
20220406,MN,107681
20220406,LC,75183
20220406,LO,56128
20220406,MB,234954
20220406,BZ,187792
20220406,TN,151851
20220406,VR,283282
20220406,VI,267917
20220406,BL,58174
20220406,TV,278052
20220406,VE,252542
20220406,PD,294070
20220406,RO,63164
20220406,UD,141328
20220406,GO,38133
20220406,TS,74096
20220406,PN,81815
20220406,IM,54255
20220406,SV,64085
20220406,GE,204418
20220406,SP,53898
20220406,PC,67994
20220406,PR,103866
20220406,RE,147326
20220406,MO,196544
20220406,BO,301564
20220406,FE,89696
20220406,RA,120569
20220406,FC,132216
20220406,RN,123344
20220406,MS,48510
20220406,LU,106473
20220406,PT,81445
20220406,FI,283740
20220406,LI,88069
20220406,PI,115072
20220406,AR,92954
20220406,SI,69275
20220406,GR,52683
20220406,PO,71053
20220406,PG,176125
20220406,TR,55380
20220406,PU,80123
20220406,AN,123255
20220406,MC,79841
20220406,AP,54532
20220406,FM,47668
20220406,VT,63457
20220406,RI,39889
20220406,RM,981296
20220406,LT,135563
20220406,FR,106302
20220406,AQ,70452
20220406,TE,81902
20220406,PE,75015
20220406,CH,90434
20220406,CB,37407
20220406,IS,13663
20220406,CE,222070
20220406,BN,53511
20220406,NA,808707
20220406,AV,83212
20220406,SA,246877
20220406,FG,142788
20220406,BA,309425
20220406,TA,125365
20220406,BR,87623
20220406,LE,190017
20220406,BT,88085
20220406,PZ,70419
20220406,MT,38821
20220406,CS,76610
20220406,CZ,41652
20220406,RC,123773
20220406,KR,32095
20220406,VV,34890
20220406,TP,76316
20220406,PA,241117
20220406,ME,140801
20220406,AG,78271
20220406,CL,61804
20220406,EN,29493
20220406,CT,211859
20220406,RG,74365
20220406,SR,91522
20220406,SS,67735
20220406,NU,34693
20220406,CA,66231
20220406,OR,27816
20220406,SU,43300
20220405,TO,564485
20220405,VC,37731
20220405,NO,80376
20220405,CN,138338
20220405,AT,49234
20220405,AL,92395
20220405,BI,40546
20220405,VB,39015
20220405,AO,30261
20220405,VA,236962
20220405,CO,158999
20220405,SO,43102
20220405,MI,840147
20220405,BG,198264
20220405,BS,322092
20220405,PV,135679
20220405,CR,84574
20220405,MN,107234
20220405,LC,74831
20220405,LO,55943
20220405,MB,234204
20220405,BZ,187300
20220405,TN,151385
20220405,VR,282200
20220405,VI,266582
20220405,BL,57921
20220405,TV,276760
20220405,VE,251238
20220405,PD,292796
20220405,RO,62809
20220405,UD,140875
20220405,GO,37970
20220405,TS,73847
20220405,PN,81566
20220405,IM,54071
20220405,SV,63891
20220405,GE,203590
20220405,SP,53646
20220405,PC,67791
20220405,PR,103293
20220405,RE,146487
20220405,MO,195903
20220405,BO,300343
20220405,FE,89192
20220405,RA,120065
20220405,FC,131791
20220405,RN,123044
20220405,MS,48228
20220405,LU,105965
20220405,PT,81114
20220405,FI,282629
20220405,LI,87632
20220405,PI,114546
20220405,AR,92528
20220405,SI,68932
20220405,GR,52387
20220405,PO,70855
20220405,PG,175035
20220405,TR,55064
20220405,PU,79753
20220405,AN,122645
20220405,MC,79521
20220405,AP,54179
20220405,FM,47416
20220405,VT,63137
20220405,RI,39636
20220405,RM,975576
20220405,LT,134781
20220405,FR,105595
20220405,AQ,70010
20220405,TE,81391
20220405,PE,74583
20220405,CH,89903
20220405,CB,37080
20220405,IS,13540
20220405,CE,220814
20220405,BN,53106
20220405,NA,805335
20220405,AV,82476
20220405,SA,245434
20220405,FG,142101
20220405,BA,307451
20220405,TA,124489
20220405,BR,87056
20220405,LE,188829
20220405,BT,87688
20220405,PZ,69914
20220405,MT,38622
20220405,CS,75917
20220405,CZ,41170
20220405,RC,123006
20220405,KR,31857
20220405,VV,34733
20220405,TP,75787
20220405,PA,239782
20220405,ME,139870
20220405,AG,77813
